E,q_peak,2sqrtE
1.000000000000000021e-02,2.313434775730032755e-01,2.000000000000000111e-01
5.125000000000000389e-02,4.992148726575333928e-01,4.527692569068708650e-01
9.249999999999999889e-02,6.696784877113252099e-01,6.082762530298219117e-01
1.337500000000000078e-01,7.914382127497480157e-01,7.314369419163897490e-01
1.750000000000000167e-01,8.888459927804862604e-01,8.366600265340755627e-01
2.162500000000000255e-01,9.862537728112243940e-01,9.300537618869137990e-01
2.575000000000000067e-01,1.083661552841962639e+00,1.014889156509221957e+00
2.987500000000000155e-01,1.156717387865016322e+00,1.093160555453772442e+00
3.400000000000000244e-01,1.229773222888070006e+00,1.166190378969060193e+00
3.812500000000000333e-01,1.302829057911123467e+00,1.234908903522846879e+00
4.225000000000000422e-01,1.375884892934177373e+00,1.300000000000000044e+00
4.637500000000000511e-01,1.424588782949546495e+00,1.361983847187623553e+00
5.050000000000000044e-01,1.497644617972599956e+00,1.421267040355189470e+00
5.462500000000000133e-01,1.546348507987969079e+00,1.478174549909448299e+00
5.875000000000000222e-01,1.595052398003338201e+00,1.532970971675589267e+00
6.287500000000000311e-01,1.643756288018707323e+00,1.585875152715370717e+00
6.700000000000000400e-01,1.692460178034076446e+00,1.637070554374490117e+00
7.112500000000000488e-01,1.765516013057130351e+00,1.686712779343300106e+00
7.525000000000000577e-01,1.789867958064814690e+00,1.734935157289747343e+00
7.937500000000000666e-01,1.838571848080183813e+00,1.781852968120546166e+00
8.350000000000000755e-01,1.887275738095552935e+00,1.827566688249706583e+00
8.762500000000000844e-01,1.935979628110922057e+00,1.872164522684905519e+00
9.175000000000000933e-01,1.984683518126291180e+00,1.915724406066801722e+00
9.587500000000001021e-01,2.033387408141660302e+00,1.958315602756613982e+00
1.000000000000000000e+00,2.057739353149345085e+00,2.000000000000000000e+00
